"Cell_ID_Myeloid","Cell_ID_T_Cell","Distance","Cell_type"
"M_11","T_2",627.57816437926,"H+"
"M_12","T_2",511.603708155646,"H+"
"M_13","T_2",1400.59697573546,"H+"
"M_14","T_2",965.973262167527,"H+"
"M_15","T_2",347.495892033417,"H+"
"M_16","T_2",881.856530110122,"H+"
"M_17","T_2",732.872224538921,"H+"
"M_18","T_2",486.494412175848,"H+"
"M_19","T_2",1709.14190329295,"H+"
"M_20","T_2",669.306157833598,"H+"
"M_21","T_2",1573.24998686261,"H+"
"M_22","T_2",1810.75630072004,"H-"
"M_23","T_2",679.29579777662,"H+"
"M_24","T_2",603.450741516289,"H+"
"M_25","T_2",784.451507006803,"H+"
"M_26","T_2",640.324954260823,"H+"
"M_27","T_2",1434.28050980063,"H+"
"M_28","T_2",1253.33081271114,"H+"
"M_29","T_2",1881.58735652732,"H-"
"M_30","T_2",1760.39410690532,"H-"
"M_31","T_2",776.90911156327,"H+"
"M_32","T_2",1152.62877621638,"H+"
"M_33","T_2",820.726957810081,"H+"
"M_34","T_2",1555.49003871705,"H+"
"M_35","T_2",2117.48432789486,"H+"
"M_36","T_2",835.131462622192,"H+"
"M_37","T_2",1090.67521274742,"H+"
"M_38","T_2",943.431640150193,"H+"
"M_39","T_2",1311.19172913606,"H-"
"M_40","T_2",1785.51550988904,"H-"
"M_41","T_2",905.562882558136,"H-"
"M_42","T_2",1167.07332401118,"H+"
"M_43","T_2",1839.00788235819,"H+"
"M_44","T_2",1563.54690502644,"H+"
"M_45","T_2",2150.17997747949,"H+"
"M_46","T_2",1023.47345463152,"H+"
"M_47","T_2",1521.38858822573,"H+"
"M_48","T_2",1720.16025095088,"H+"
"M_49","T_2",1989.76618070597,"H+"
"M_50","T_2",1070.85182195785,"H+"
"M_51","T_2",1816.91167246121,"H+"
"M_52","T_2",2063.42347847766,"H+"
"M_53","T_2",1078.11275954834,"H+"
"M_54","T_2",1120.62210190337,"H+"
"M_55","T_2",1137.5723524513,"H+"
"M_56","T_2",1162.58671673258,"H+"
"M_57","T_2",2189.78329878986,"H+"
"M_58","T_2",1259.87929659841,"H-"
"M_59","T_2",1581.3672490803,"H-"
"M_60","T_2",1200.98689649854,"H-"
"M_61","T_2",1341.57247916403,"H+"
"M_62","T_2",1710.62985141525,"H+"
"M_63","T_2",1450.66605472776,"H+"
"M_64","T_2",1526.05269962682,"H+"
"M_65","T_2",1947.19420314762,"H+"
"M_66","T_2",1226.85567694107,"H+"
"M_67","T_2",1834.57987822533,"H+"
"M_68","T_2",1609.88573245975,"H+"
"M_69","T_2",1404.84503706804,"H+"
"M_70","T_2",1544.44442657444,"H-"
"M_71","T_2",1315.7042669356,"H+"
"M_72","T_2",1710.33656934255,"H+"
"M_73","T_2",2086.61830622967,"H-"
"M_74","T_2",1851.47647540505,"H+"
"M_75","T_2",1366.77537066281,"H+"
"M_76","T_2",1430.14436121891,"H+"
"M_77","T_2",2397.33282874716,"H+"
"M_78","T_2",1412.25988629432,"H-"
"M_79","T_2",1975.00898836987,"H+"
"M_80","T_2",1528.03172405727,"H+"
"M_81","T_2",1548.24825496149,"H+"
"M_82","T_2",1658.30713505,"H+"
"M_83","T_2",1526.83109744316,"H+"
"M_84","T_2",2363.18722337197,"H+"
"M_85","T_2",1566.48811613884,"H+"
"M_86","T_2",1546.46757816614,"H+"
"M_87","T_2",1819.10048403736,"H+"
"M_88","T_2",2197.17092805782,"H+"
"M_89","T_2",2392.4063633558,"H-"
"M_90","T_2",2036.04373026111,"H+"
"M_91","T_2",2511.17326013697,"H+"
"M_92","T_2",1653.61387679974,"H+"
"M_93","T_2",1752.02450914765,"H-"
"M_94","T_2",2422.13705635514,"H+"
"M_95","T_2",1984.85012683648,"H+"
"M_96","T_2",1769.79212298226,"H+"
"M_97","T_2",1930.38350372125,"H+"
"M_98","T_2",2626.45277593673,"H+"
"M_99","T_2",1844.94108071119,"H+"
"M_100","T_2",1872.65809472961,"H+"
"M_101","T_2",2278.61408421522,"H+"
"M_102","T_2",1802.82374429212,"H+"
"M_103","T_2",2530.12348047307,"H+"
"M_104","T_2",2230.99868729101,"H+"
"M_105","T_2",2526.48183156612,"H+"
"M_106","T_2",2223.75064758696,"H+"
"M_107","T_2",2181.40092085777,"H+"
"M_108","T_2",2089.61837724475,"H+"
"M_109","T_2",2597.58000348937,"H+"
"M_110","T_2",2525.77688757138,"H+"
"M_111","T_2",2202.82213606611,"H+"
"M_112","T_2",2266.52088856564,"H+"
"M_113","T_2",2303.2515391459,"H+"
"M_114","T_2",2413.145710314,"H-"
"M_115","T_2",2782.76257520483,"H+"
"M_116","T_2",2203.98323620262,"H+"
"M_1","T_3",476.448060855136,"H+"
"M_2","T_3",43.2492788706618,"H-"
"M_3","T_3",375.312143061827,"H-"
"M_4","T_3",1519.46986868452,"H+"
"M_5","T_3",276.987045449928,"H+"
"M_6","T_3",596.860866139557,"H+"
"M_7","T_3",183.554679599578,"H-"
"M_8","T_3",1349.28116124654,"H+"
"M_9","T_3",564.235386070792,"H+"
"M_10","T_3",303.870222847323,"H-"
"M_11","T_3",1127.5906282542,"H+"
"M_12","T_3",1264.70175403737,"H+"
"M_13","T_3",432.979421988103,"H+"
"M_14","T_3",805.242166465425,"H+"
"M_15","T_3",1679.14020629781,"H+"
"M_16","T_3",970.938908320555,"H+"
"M_17","T_3",2329.40174572148,"H+"
"M_18","T_3",1474.35432901535,"H+"
"M_19","T_3",465.062343857091,"H+"
"M_20","T_3",2185.48836915811,"H+"
"M_21","T_3",532.299781352541,"H+"
"M_22","T_3",536.66544471704,"H-"
"M_23","T_3",1378.40872071696,"H+"
"M_24","T_3",1931.83998889666,"H+"
"M_25","T_3",1328.71141670568,"H+"
"M_26","T_3",1651.70367325809,"H+"
"M_27","T_3",767.026393932246,"H+"
"M_28","T_3",907.364405975272,"H+"
"M_29","T_3",701.363466385314,"H-"
"M_30","T_3",710.315954660766,"H-"
"M_31","T_3",1590.68406246124,"H+"
"M_32","T_3",1090.12310455351,"H+"
"M_33","T_3",1528.67140071764,"H+"
"M_34","T_3",854.259264350456,"H+"
"M_35","T_3",844.726084648878,"H+"
"M_36","T_3",1699.06972652226,"H+"
"M_37","T_3",1257.24647871152,"H+"
"M_38","T_3",1493.43812927442,"H+"
"M_39","T_3",1074.94002792434,"H-"
"M_40","T_3",845.418333287628,"H-"
"M_41","T_3",1726.23823123277,"H-"
"M_42","T_3",1302.0341742227,"H+"
"M_43","T_3",981.79367068605,"H+"
"M_44","T_3",1009.33335068427,"H+"
"M_45","T_3",983.59817287796,"H+"
"M_46","T_3",1665.11990830119,"H+"
"M_47","T_3",1139.67342442463,"H+"
"M_48","T_3",1061.75280203,"H+"
"M_49","T_3",1071.1724789885,"H+"
"M_50","T_3",2149.01837101961,"H+"
"M_51","T_3",1108.48697799985,"H+"
"M_52","T_3",1064.14249276694,"H+"
"M_53","T_3",1931.09100771047,"H+"
"M_54","T_3",1828.21271746886,"H+"
"M_55","T_3",2331.34500823789,"H+"
"M_56","T_3",1717.62897407046,"H+"
"M_57","T_3",1130.19213327311,"H+"
"M_58","T_3",2517.4567126903,"H-"
"M_59","T_3",1261.31379991774,"H-"
"M_60","T_3",2318.71107287987,"H-"
"M_61","T_3",1531.59059068398,"H+"
"M_62","T_3",1267.39707547704,"H+"
"M_63","T_3",1450.20117520672,"H+"
"M_64","T_3",1404.89164630997,"H+"
"M_65","T_3",1234.76096065933,"H+"
"M_66","T_3",2081.46329408756,"H+"
"M_67","T_3",1279.74930374165,"H+"
"M_68","T_3",1478.27730017801,"H+"
"M_69","T_3",1704.74800876977,"H+"
"M_70","T_3",1581.0309472524,"H-"
"M_71","T_3",2218.68791850861,"H+"
"M_72","T_3",1421.77351635635,"H+"
"M_73","T_3",1329.45575580101,"H-"
"M_74","T_3",1408.43079906506,"H+"
"M_75","T_3",2089.75648048479,"H+"
"M_76","T_3",1834.16402655274,"H+"
"M_77","T_3",1433.98203169872,"H+"
"M_78","T_3",2433.18895742311,"H-"
"M_79","T_3",1457.60146218167,"H+"
"M_80","T_3",1832.54717018682,"H+"
"M_81","T_3",2633.28673744289,"H+"
"M_82","T_3",1825.5595535339,"H+"
"M_83","T_3",2370.39431064285,"H+"
"M_84","T_3",1531.20385083132,"H+"
"M_85","T_3",2573.21707853332,"H+"
"M_86","T_3",2156.84827344232,"H+"
"M_87","T_3",1730.3866378309,"H+"
"M_88","T_3",1604.16424910155,"H+"
"M_89","T_3",1610.57262743303,"H-"
"M_90","T_3",1658.80688168185,"H+"
"M_91","T_3",1629.84394588141,"H+"
"M_92","T_3",2405.3248038075,"H+"
"M_93","T_3",2793.10744812839,"H-"
"M_94","T_3",1705.00181001372,"H+"
"M_95","T_3",1857.63269333462,"H+"
"M_96","T_3",2171.95199583695,"H+"
"M_97","T_3",1969.1257404545,"H+"
"M_98","T_3",1785.69704066141,"H+"
"M_99","T_3",2837.69274271792,"H+"
"M_100","T_3",2116.00816495916,"H+"
"M_101","T_3",1820.25218974592,"H+"
"M_102","T_3",2315.98945607339,"H+"
"M_103","T_3",1807.29779806847,"H+"
"M_104","T_3",1902.06074601568,"H+"
"M_105","T_3",1947.28184239573,"H+"
"M_106","T_3",2058.18351848876,"H+"
"M_107","T_3",2138.17475688763,"H+"
"M_108","T_3",3046.80773472827,"H+"
"M_109","T_3",2063.56395927385,"H+"
"M_110","T_3",2121.94647128812,"H+"
"M_111","T_3",2370.27286281138,"H+"
"M_112","T_3",2287.17232633017,"H+"
"M_113","T_3",2258.59943735163,"H+"
"M_114","T_3",2187.1227628072,"H-"
"M_115","T_3",2138.99967876502,"H+"
"M_116","T_3",2425.33586738537,"H+"
"M_1","T_4",1593.04305396848,"H+"
"M_2","T_4",2096.65001716119,"H-"
"M_3","T_4",1704.26562934588,"H-"
"M_4","T_4",553.43056108127,"H+"
"M_5","T_4",1809.5106302268,"H+"
"M_6","T_4",1482.78720110167,"H+"
"M_7","T_4",2175.03860931317,"H-"
"M_8","T_4",746.237912455205,"H+"
"M_9","T_4",1560.75225683009,"H+"
"M_10","T_4",1858.25060237089,"H-"
"M_11","T_4",1000.87176878055,"H+"
"M_12","T_4",872.779228674605,"H+"
"M_13","T_4",1786.57406702647,"H+"
"M_14","T_4",1346.77113097053,"H+"
"M_15","T_4",549.364267372613,"H+"
"M_16","T_4",1246.30617718575,"H+"
"M_17","T_4",452.230972400595,"H+"
"M_18","T_4",772.441206990163,"H+"
"M_19","T_4",2090.52269720207,"H+"
"M_20","T_4",497.288691307305,"H+"
"M_21","T_4",1950.38577229035,"H+"
"M_22","T_4",2189.81884699506,"H-"
"M_23","T_4",968.95616143006,"H+"
"M_24","T_4",623.816742994785,"H+"
"M_25","T_4",1077.36805128318,"H+"
"M_26","T_4",825.490559918403,"H+"
"M_27","T_4",1793.61662157618,"H+"
"M_28","T_4",1600.49376311416,"H+"
"M_29","T_4",2251.88675462334,"H-"
"M_30","T_4",2126.767955132,"H-"
"M_31","T_4",983.486389266916,"H+"
"M_32","T_4",1475.50736684827,"H+"
"M_33","T_4",1048.3843407284,"H+"
"M_34","T_4",1905.72649572438,"H+"
"M_35","T_4",2486.77334306311,"H+"
"M_36","T_4",999.899437309768,"H+"
"M_37","T_4",1383.39996077832,"H+"
"M_38","T_4",1179.69738481652,"H+"
"M_39","T_4",1633.25502490272,"H-"
"M_40","T_4",2141.10318555248,"H-"
"M_41","T_4",1062.82646429632,"H-"
"M_42","T_4",1449.20278351777,"H+"
"M_43","T_4",2183.06186830025,"H+"
"M_44","T_4",1896.19282356674,"H+"
"M_45","T_4",2509.45251044313,"H+"
"M_46","T_4",1208.04386855739,"H+"
"M_47","T_4",1835.64841657316,"H+"
"M_48","T_4",2050.7021046564,"H+"
"M_49","T_4",2331.461880389,"H+"
"M_50","T_4",1072.01847769484,"H+"
"M_51","T_4",2145.77170551646,"H+"
"M_52","T_4",2409.93231729958,"H+"
"M_53","T_4",1173.52621871825,"H+"
"M_54","T_4",1258.32263417067,"H+"
"M_55","T_4",1067.50064830307,"H+"
"M_56","T_4",1339.28011570611,"H+"
"M_57","T_4",2537.21843191921,"H+"
"M_58","T_4",1135.81672763711,"H-"
"M_59","T_4",1879.17952769284,"H-"
"M_60","T_4",1156.18559063994,"H-"
"M_61","T_4",1577.66777249843,"H+"
"M_62","T_4",2013.27981252389,"H+"
"M_63","T_4",1709.42529138012,"H+"
"M_64","T_4",1797.10526571385,"H+"
"M_65","T_4",2267.35424385245,"H+"
"M_66","T_4",1288.20854683202,"H+"
"M_67","T_4",2142.10795176058,"H+"
"M_68","T_4",1872.13335828589,"H+"
"M_69","T_4",1603.93680071653,"H+"
"M_70","T_4",1782.2438670338,"H-"
"M_71","T_4",1341.74408544444,"H+"
"M_72","T_4",1988.74860531489,"H+"
"M_73","T_4",2403.88840927335,"H-"
"M_74","T_4",2141.21398875183,"H+"
"M_75","T_4",1449.11285268564,"H+"
"M_76","T_4",1598.12332625802,"H+"
"M_77","T_4",2726.04019514105,"H+"
"M_78","T_4",1375.36508888175,"H-"
"M_79","T_4",2266.18999712528,"H+"
"M_80","T_4",1706.80050276214,"H+"
"M_81","T_4",1466.69193773787,"H+"
"M_82","T_4",1852.56072058234,"H+"
"M_83","T_4",1542.30056788925,"H+"
"M_84","T_4",2676.45974955487,"H+"
"M_85","T_4",1514.89240928271,"H+"
"M_86","T_4",1637.08785054312,"H+"
"M_87","T_4",2049.84107534044,"H+"
"M_88","T_4",2485.02480647135,"H+"
"M_89","T_4",2697.55624975647,"H-"
"M_90","T_4",2300.31797346988,"H+"
"M_91","T_4",2825.09680959801,"H+"
"M_92","T_4",1684.60262984961,"H+"
"M_93","T_4",1666.96713852731,"H-"
"M_94","T_4",2716.69972465432,"H+"
